index,user_id,sentence_index,sentence,goal_topic,goal_type,knowledge,recdial,sentiment_star,sentiment_score,is_bot_talk_first,is_user,deny,recommend_sf
1,1,0,"Baby, can you tell me the weather today?",Ask about weather,Ask about weather,"Hengshui, 2018-12-12, Sunny with southwest winds. The high will be 4 ℃, and low - 7 ℃",0,5,0.2619362473487854,0,1,False,
2,1,1,"OK, today in Hengshui it is sunny, with southwest winds. The high will be 4 ℃ and low - 7 ℃. Be sure to keep warm.",Ask about weather,Ask about weather,"Hengshui, 2018-12-12, Sunny with southwest winds. The high will be 4 ℃, and low - 7 ℃",0,3,0.6580030918121338,0,0,False,
3,1,2,"Wow, you're great. You know everything. Great!",Ask about weather,Ask about weather,,0,5,0.9402592182159424,0,1,False,
4,1,3,There's nothing I don't know. I also know that today's weather is suitable to eat Marinated Fish.,Marinated Fish,Food recommendation,"Sunny with southwest winds. The high will be 4 ℃, and low - 7 ℃, Perfect for having, Marinated Fish",1,3,0.4397909939289093,0,0,False,
5,1,4,"Okay, I like it.",Marinated Fish,Food recommendation,,1,3,0.7675293087959291,0,1,False,Success
6,1,5,I know a restaurant where the Marinated Fish is made of grouper.,Marinated Fish,Food recommendation,"Marinated Fish, Ingredients, grouper、Olive oil、lemon juice、Garlic、pepper powder、salt",1,3,0.2672450840473175,0,0,False,
7,1,6,"Woah, there's grouper! I really like it! It's a tonic! I really want to have it!",Marinated Fish,Food recommendation,,1,4,0.4112051427364349,0,1,False,Success
8,1,7,"If you like it so much, I know a restaurant which cooks groupers very well. Mr.Fish Roasted. The Marinated Fish here is very authentic!",Mr.Fish Roasted,POI recommendation,"Mr.Fish Roasted, Specials, Marinated Fish",1,5,0.4862516224384308,0,0,False,
9,1,8,"Then tell me about the average meal cost per person, the address and the ratings.",Mr.Fish Roasted,POI recommendation,"Mr.Fish Roasted, Rating, 5",1,4,0.3106494545936584,0,1,False,Success
10,1,9,"It costs 0 yuan per person. The address is the intersection of Liushi Road, Huzhuang commercial and residential building, Yingbin North Street, Jizhou District, Jizhou. 5 points, very high.",Mr.Fish Roasted,POI recommendation,"Mr.Fish Roasted, Rating, 5",1,1,0.6232463717460632,0,0,True,
11,1,10,"Okay. I'll be there tomorrow noon with my partner, taking her to have a taste. Hehe!",Mr.Fish Roasted,POI recommendation,,1,3,0.8430196642875671,0,1,False,Success
12,1,11,"Okay, I'll make a reservation for you. I'll say bon appetite in advance!",Mr.Fish Roasted,POI recommendation,,1,3,0.8075274229049683,0,0,False,
13,1,12,Thanks. Then I'm going to bed first. See you tomorrow. Bye.,Say goodbye,Say goodbye,,0,5,0.4251094460487366,0,1,False,
14,1,13,All right. Bye~,Say goodbye,Say goodbye,,0,5,0.6396660804748535,0,0,False,
15,3,0,Good afternoon. What's the weather like today?,Ask about weather,Ask about weather,"Xining, 2018-11-22, Sunny with northwest winds. The high will be 6 ℃, and low - 12 ℃",0,4,0.5401971340179443,0,1,False,
16,3,1,"Today in Xining it is sunny, with northwest winds. The high will be 6 ℃ and low - 12 ℃. The temperature is low. Keep warm.",Ask about weather,Ask about weather,"Xining, 2018-11-22, Sunny with northwest winds. The high will be 6 ℃, and low - 12 ℃",0,4,0.4167398512363434,0,0,False,
17,3,2,"Okay, I'll be careful. Thank you.",Ask about weather,Ask about weather,,0,3,0.7314551472663879,0,1,False,
